a52dec 0.7.4-10
aalib 1.4rc5-13
absl-py 0.9.0-1
accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.3-1
alsa-lib 1.2.1.2-3
alsa-plugins 1.2.1-1
alsa-topology-conf 1.2.1-1
alsa-ucm-conf 1.2.1.2-1
aom 1.0.0.errata1-1
appstream 0.12.10-2
appstream-qt 0.12.10-2
apr 1.7.0-2
apr-util 1.6.1-6
archlinux-keyring 20200108-1
argon2 20190702-2
aribb24 1.0.3-2
aspell 0.60.8-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
atomicparsley 0.9.6-1
attica 5.66.0-1
attr 2.4.48-2
audit 2.8.5-6
autoconf 2.69-6
autokey 0.95.9-1
automake 1.16.1-2
avahi 0.7+18+g1b5f401-3
babl 0.1.74-1
baloo 5.66.0-1
baloo-widgets 19.12.1-1
bash 5.0.011-2
binutils 2.33.1-2
bison 3.5-1
blas 3.9.0-2
bluedevil 1:5.17.5-1
bluez 5.52-2
bluez-libs 5.52-2
bluez-qt 5.66.0-1
bluez-utils 5.52-2
bolt 0.8-3
boost-libs 1.71.0-4
breeze 5.17.5-1
breeze-gtk 5.17.5-1
breeze-icons 5.66.0-1
bridge-utils 1.6-4
brotli 1.0.7-3
btrfs-progs 5.4-1
bubblewrap 0.4.0-1
bzip2 1.0.8-3
c-ares 1.15.0-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.49.2-2
ca-certificates-utils 20181109-3
cabextract 1.9.1-1
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
cantarell-fonts 1:0.201-1
cblas 3.9.0-2
cdparanoia 10.2-7
cdrdao 1.2.4-1
cdrtools 3.02a09-2
celt 0.11.3-3
cfitsio 1:3.47-1
chromaprint-fftw 1.4.3-5
cifs-utils 6.10-1
clang 9.0.0-3
clucene 2.3.3.4-10
cmake 3.16.3-1
colord 1.4.4+9+g1ce26da-1
compiler-rt 9.0.1-1
confuse 3.2.2-1
containerd 1.3.2-1
convertlit 1.8-8
coreutils 8.31-3
cracklib 2.9.7-2
cryptsetup 2.2.2-1
curl 7.68.0-1
dav1d 0.5.2-1
db 5.3.28-5
dbus 1.12.16-5
dbus-c++ 0.9.0-9
dbus-glib 0.110-1
dconf 0.34.0-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-5
dhcpcd 8.1.5-1
dia 0.97.3-5
diffutils 3.7-3
discord 0.0.9-5
dmenu2 0.2-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-2
docker 1:19.03.5-1
docker-compose 1.25.3-1
dolphin 19.12.1-1
dos2unix 7.4.1-1
dosfstools 4.1-3
double-conversion 3.1.5-1
drkonqi 5.17.5-1
dropbox 88.4.172-1
dvd+rw-tools 7.1-8
e2fsprogs 1.45.5-1
ebook-tools 0.2.2-6
ed 1.15-2
editorconfig-core-c 0.12.3-1
efibootmgr 16-2
efivar 37-3
egl-wayland 1.1.4-2
eglexternalplatform 1.1-1
enchant 2.2.7-1
exfat-utils 1.3.0-1
exiv2 0.27.2-1
expat 2.2.9-3
faac 1.30-2
faad2 2.9.1-2
fakeroot 1.24-2
faudio 20.01-1
ffmpeg 1:4.2.2-2
fftw 3.3.8-2
file 5.38-1
filesystem 2019.10-2
findutils 4.7.0-2
fish 3.0.2-3
flac 1.3.3-1
flex 2.6.4-3
flite1-patched 1.4-3
fluidsynth 2.1.0-1
fontconfig 2:2.13.91+24+g75eadca-2
frameworkintegration 5.66.0-1
freeglut 3.2.1-1
freetype2 2.10.1-1
fribidi 1.0.8-1
ftgl 2.4.0-1
fuse-common 3.9.0-1
fuse2 2.9.9-3
fuse3 3.9.0-1
gawk 5.0.1-2
gc 8.0.4-3
gcc 9.2.0-4
gcc-libs 9.2.0-4
gcr 3.34.0-1
gd 2.2.5-2
gdb 8.3.1-4
gdb-common 8.3.1-4
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-1
gegl 0.4.20-1
gettext 0.20.1-3
ghostscript 9.50-2
giflib 5.2.1-1
git 2.25.0-1
glances 3.1.3-2
glew 2.1.0-1
glib-networking 2.62.3-1
glib2 2.62.4-1
glibc 2.30-3
glibmm 2.62.0-1
glm 0.9.9.7-1
glu 9.0.1-1
gmp 6.1.2-3
gnome-desktop 1:3.34.2-1
gnupg 2.2.19-1
gnuplot 5.2.8-1
gnutls 3.6.11.1-1
go 2:1.13.7-1
gobject-introspection-runtime 1.62.0-3
google-chrome 79.0.3945.130-1
gparted 1.1.0-1
gpgme 1.13.1-3
gpm 1.20.7.r27.g1fd1941-2
